778668`JZ`2024-04-16 00:00:00.000`0.0`2.9999999999999999E-2`1`0`
778667`EU`2024-04-12 00:00:00.000`0.0`0.33000000000000002`1`0`
778666`CKR`2024-04-11 00:00:00.000`0.0`1.0`1`0`
778665`JRL`2024-04-08 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778660`EU`2024-04-16 00:00:00.000`0.0`1.1599999999999999`1`0`
778659`ZN`2024-04-16 00:00:00.000`0.0`1.0700000000000001`1`0`
778658`JRL`2024-04-10 00:00:00.000`0.0`0.17999999999999999`1`0`
778653`DT`2024-04-16 00:00:00.000`0.0`0.23999999999999999`2`0`
778652`EU`2024-04-12 00:00:00.000`0.0`0.75`2`0`
778651`AB`2024-04-11 00:00:00.000`0.0`2.1699999999999999`2`0`
778650`JRL`2024-04-08 00:00:00.000`0.0`0.23000000000000001`2`0`
778637`JLA`2024-04-16 00:00:00.000`0.0`0.45000000000000001`1`0`
778636`ZN`2024-04-11 00:00:00.000`0.0`2.2999999999999998`1`0`
778635`ZN`2024-04-10 00:00:00.000`0.0`0.10000000000000001`1`0`
778630`JLA`2024-04-16 00:00:00.000`0.0`0.45000000000000001`1`0`
778629`ZN`2024-04-11 00:00:00.000`0.0`2.3199999999999998`1`0`
778628`ZN`2024-04-10 00:00:00.000`0.0`0.10000000000000001`1`0`
778622`TM`2024-04-17 00:00:00.000`0.0`0.0`0`0`
778621`EU`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`22`0`
778620`CA`2024-04-12 00:00:00.000`0.0`8.9700000000000006`0`0`
778620`CA`2024-04-15 00:00:00.000`0.0`4.29`2`0`
778619`DT`2024-04-09 00:00:00.000`0.0`0.17000000000000001`2`0`
778618`EU`2024-04-05 00:00:00.000`0.0`0.66000000000000003`2`0`
778617`NR`2024-04-05 00:00:00.000`0.0`0.55000000000000004`1`0`
778616`ZN`2024-04-03 00:00:00.000`0.0`1.0700000000000001`2`0`
778615`JRL`2024-03-28 00:00:00.000`0.0`0.13`2`0`
778595`BC`2024-04-16 00:00:00.000`0.0`0.5`20`0`
778594`EU`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`20`0`
778593`CA`2024-04-13 00:00:00.000`0.0`24.0`0`0`
778593`CA`2024-04-15 00:00:00.000`0.0`1.27`0`0`
778593`CA`2024-04-15 00:00:00.000`0.0`12.0`20`0`
778592`DT`2024-04-12 00:00:00.000`0.0`0.67000000000000004`20`0`
778591`AH`2024-04-10 00:00:00.000`0.0`0.62`2`0`
778591`AH`2024-04-11 00:00:00.000`0.0`2.1299999999999999`18`0`
778590`MGK`2024-04-05 00:00:00.000`0.0`6.7300000000000004`0`0`
778590`MGK`2024-04-08 00:00:00.000`0.0`4.8300000000000001`20`0`
778589`BC`2024-04-04 00:00:00.000`0.0`3.0`0`0`
778589`BC`2024-04-05 00:00:00.000`0.0`1.0900000000000001`20`0`
778588`JRL`2024-04-03 00:00:00.000`0.0`0.67000000000000004`20`0`
778580`AMH`2024-04-01 00:00:00.000`0.0`0.29999999999999999`4`0`
778567`DT`2024-04-15 00:00:00.000`0.0`0.11`1`0`
778566`NR`2024-04-12 00:00:00.000`0.0`0.45000000000000001`1`0`
778565`DT`2024-04-08 00:00:00.000`0.0`0.13`1`0`
778564`EU`2024-04-05 00:00:00.000`0.0`0.5`1`0`
778563`AB`2024-04-03 00:00:00.000`0.0`0.63`0`0`
778563`AB`2024-04-04 00:00:00.000`0.0`8.8699999999999992`1`0`
778562`JRL`2024-04-03 00:00:00.000`0.0`0.17000000000000001`1`0`
778561`NR`2024-03-28 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778517`AMH`2024-04-17 00:00:00.000`0.0`0.29999999999999999`8`0`
778516`NR`2024-04-16 00:00:00.000`0.0`2.1299999999999999`7`0`
778515`BC`2024-04-16 00:00:00.000`0.0`4.0`7`1`
778515`BC`2024-04-11 00:00:00.000`0.0`4.0`0`0`
778514`JRL`2024-04-04 00:00:00.000`0.0`0.67000000000000004`8`0`
778469`NR`2024-04-17 00:00:00.000`0.0`0.0`0`0`
778468`MGK`2024-04-08 00:00:00.000`0.0`1.75`0`0`
778468`MGK`2024-04-09 00:00:00.000`0.0`6.0`10`0`
778467`ITA`2024-04-08 00:00:00.000`0.0`0.80000000000000004`0`0`
778467`ITA`2024-04-08 00:00:00.000`0.0`2.2999999999999998`10`0`
778466`JRL`2024-04-04 00:00:00.000`0.0`0.54000000000000004`10`0`
778465`DJH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`24`0`
778464`DT`2024-04-11 00:00:00.000`0.0`1.28`0`0`
778464`DT`2024-04-12 00:00:00.000`0.0`1.2`24`0`
778463`TJ`2024-04-10 00:00:00.000`0.0`2.7000000000000002`18`0`
778463`TJ`2024-04-09 00:00:00.000`0.0`1.6499999999999999`6`0`
778462`JRL`2024-04-01 00:00:00.000`0.0`0.40000000000000002`3`0`
778462`ITA`2024-04-03 00:00:00.000`0.0`0.39000000000000001`0`0`
778462`ITA`2024-04-04 00:00:00.000`0.0`3.0`24`0`
778461`JRL`2024-04-03 00:00:00.000`0.0`2.0`24`0`
778456`EU`2024-04-16 00:00:00.000`0.0`2.75`1`0`
778455`CHK`2024-04-10 00:00:00.000`0.0`2.5`0`0`
778455`CHK`2024-04-11 00:00:00.000`0.0`3.0`1`0`
778454`AMH`2024-04-04 00:00:00.000`0.0`0.29999999999999999`1`0`
778449`NV`2024-04-16 00:00:00.000`0.0`2.25`1`0`
778448`JRL`2024-03-28 00:00:00.000`0.0`0.33000000000000002`1`0`
778442`JLA`2024-04-16 00:00:00.000`0.0`3.8799999999999999`0`0`
778441`JZ`2024-04-12 00:00:00.000`0.0`1.1200000000000001`6`0`
778440`AH`2024-04-12 00:00:00.000`0.0`1.1000000000000001`6`0`
778439`ITA`2024-04-10 00:00:00.000`0.0`2.73`6`0`
778439`ITA`2024-04-11 00:00:00.000`0.0`0.0`0`0`
778438`JRL`2024-04-10 00:00:00.000`0.0`0.59999999999999998`6`0`
778434`MGK`2024-04-16 00:00:00.000`0.0`1.0`0`0`
778433`NR`2024-04-16 00:00:00.000`0.0`1.0`3`0`
778433`NR`2024-04-12 00:00:00.000`0.0`63.25`0`0`
778433`NR`2024-04-15 00:00:00.000`0.0`2.5800000000000001`0`0`
778432`MGK`2024-04-09 00:00:00.000`0.0`0.5`0`0`
778432`MGK`2024-04-10 00:00:00.000`0.0`5.1799999999999997`3`0`
778431`EU`2024-04-04 00:00:00.000`0.0`8.0000000000000002E-2`3`0`
778430`TJ`2024-04-04 00:00:00.000`0.0`0.75`3`0`
778429`DT`2024-04-03 00:00:00.000`0.0`0.23999999999999999`3`0`
778428`EU`2024-04-02 00:00:00.000`0.0`1.75`3`0`
778427`CKR`2024-04-02 00:00:00.000`0.0`2.25`3`0`
778426`JRL`2024-04-01 00:00:00.000`0.0`0.40000000000000002`3`0`
778421`CA`2024-04-17 00:00:00.000`0.0`0.0`0`0`
778421`CA`2024-04-16 00:00:00.000`0.0`8.5700000000000003`0`0`
778420`DT`2024-04-11 00:00:00.000`0.0`0.16`1`0`
778419`EU`2024-04-09 00:00:00.000`0.0`1.4099999999999999`1`0`
778418`ITA`2024-04-08 00:00:00.000`0.0`1.0900000000000001`1`0`
778417`JRL`2024-04-05 00:00:00.000`0.0`0.12`1`0`
778400`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`2`0`
778399`JZ`2024-04-11 00:00:00.000`0.0`5.0000000000000003E-2`2`0`
778398`JZ`2024-04-11 00:00:00.000`0.0`0.13`2`0`
778397`JRL`2024-04-11 00:00:00.000`0.0`4.0000000000000001E-2`2`0`
778396`NR`2024-04-09 00:00:00.000`0.0`0.87`2`0`
778395`JLA`2024-04-05 00:00:00.000`0.0`1.9199999999999999`2`0`
778394`ZN`2024-04-04 00:00:00.000`0.0`0.69999999999999996`0`0`
778394`ZN`2024-04-05 00:00:00.000`0.0`0.45000000000000001`2`0`
778393`JRL`2024-04-02 00:00:00.000`0.0`0.33000000000000002`2`0`
778392`MGK`2024-03-25 00:00:00.000`0.0`0.02`2`0`
778391`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`2`0`
778390`JZ`2024-04-10 00:00:00.000`0.0`2.9999999999999999E-2`2`0`
778389`NR`2024-04-10 00:00:00.000`0.0`0.75`2`0`
778388`EH`2024-04-04 00:00:00.000`0.0`7.4299999999999997`2`0`
778387`JRL`2024-03-26 00:00:00.000`0.0`0.40000000000000002`2`0`
778385`DT`2024-04-16 00:00:00.000`0.0`1.75`20`0`
778384`EU`2024-04-15 00:00:00.000`0.0`3.0`20`0`
778383`CF`2024-04-11 00:00:00.000`0.0`2.6800000000000002`20`0`
778382`JLA`2024-04-10 00:00:00.000`0.0`4.2999999999999998`20`0`
778381`ZN`2024-04-09 00:00:00.000`0.0`3.9300000000000002`20`0`
778380`JRL`2024-04-05 00:00:00.000`0.0`1.3300000000000001`20`0`
778373`NR`2024-04-16 00:00:00.000`0.0`0.42999999999999999`0`0`
778373`NR`2024-04-17 00:00:00.000`0.0`0.84999999999999998`1`0`
778372`MGK`2024-04-16 00:00:00.000`0.0`1.1799999999999999`1`0`
778371`ZN`2024-04-16 00:00:00.000`0.0`2.3700000000000001`1`0`
778370`JRL`2024-04-16 00:00:00.000`0.0`7.0000000000000007E-2`1`0`
778369`ZN`2024-04-16 00:00:00.000`0.0`0.20000000000000001`1`0`
778369`ZN`2024-04-08 00:00:00.000`0.0`0.0`0`0`
778368`MGK`2024-03-25 00:00:00.000`0.0`0.01`1`0`
778367`AE`2024-04-12 00:00:00.000`0.0`2.75`2`0`
778366`DJH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`2`0`
778365`NV`2024-04-11 00:00:00.000`0.0`1.0`2`0`
778364`JZ`2024-04-01 00:00:00.000`0.0`0.78000000000000003`2`0`
778363`EU`2024-04-01 00:00:00.000`0.0`3.0`2`0`
778362`NV`2024-03-27 00:00:00.000`0.0`1.5`0`0`
778362`NV`2024-03-28 00:00:00.000`0.0`1.5`2`0`
778361`AMH`2024-03-25 00:00:00.000`0.0`0.29999999999999999`1`0`
778360`DJH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`1`0`
778359`DT`2024-04-15 00:00:00.000`0.0`0.11`1`0`
778358`NR`2024-04-12 00:00:00.000`0.0`0.93000000000000005`1`0`
778357`DT`2024-04-08 00:00:00.000`0.0`0.13`1`0`
778356`EU`2024-04-05 00:00:00.000`0.0`0.5`1`0`
778355`AB`2024-04-03 00:00:00.000`0.0`0.63`0`0`
778355`AB`2024-04-04 00:00:00.000`0.0`3.4700000000000002`10`0`
778354`AB`2024-04-04 00:00:00.000`0.0`6.5499999999999998`1`0`
778354`AB`2024-04-03 00:00:00.000`0.0`3.0800000000000001`0`0`
778353`JRL`2024-03-25 00:00:00.000`0.0`0.17000000000000001`1`0`
778294`ZN`2024-04-15 00:00:00.000`0.0`1.1000000000000001`0`0`
778293`JRL`2024-04-01 00:00:00.000`0.0`0.67000000000000004`5`0`
778292`JLA`2024-04-15 00:00:00.000`0.0`0.10000000000000001`1`0`
778291`EH`2024-04-15 00:00:00.000`0.0`2.4500000000000002`1`0`
778290`EU`2024-04-08 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778288`CA`2024-04-05 00:00:00.000`0.0`6.75`0`0`
778288`CA`2024-04-08 00:00:00.000`0.0`3.0`1`0`
778287`JZ`2024-04-02 00:00:00.000`0.0`2.9999999999999999E-2`1`0`
778286`JZ`2024-04-02 00:00:00.000`0.0`0.10000000000000001`1`0`
778285`EU`2024-04-01 00:00:00.000`0.0`2.1600000000000001`1`0`
778284`CF`2024-03-28 00:00:00.000`0.0`0.68000000000000005`1`0`
778283`EH`2024-03-28 00:00:00.000`0.0`2.4500000000000002`1`0`
778282`JRL`2024-03-28 00:00:00.000`0.0`0.40000000000000002`1`0`
778275`DJH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`1`0`
778274`AMH`2024-04-10 00:00:00.000`0.0`0.10000000000000001`1`0`
778273`DT`2024-04-09 00:00:00.000`0.0`0.16`1`0`
778272`EU`2024-04-05 00:00:00.000`0.0`0.40999999999999998`1`0`
778271`NJW`2024-04-03 00:00:00.000`0.0`0.29999999999999999`1`0`
778270`JLA`2024-04-02 00:00:00.000`0.0`0.63`1`0`
778269`ZN`2024-04-02 00:00:00.000`0.0`0.90000000000000002`1`0`
778268`JRL`2024-03-28 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778257`JZ`2024-04-15 00:00:00.000`0.0`0.25`1`0`
778256`EU`2024-04-12 00:00:00.000`0.0`3.1600000000000001`1`0`
778255`TJ`2024-04-08 00:00:00.000`0.0`1.0`0`0`
778255`TJ`2024-04-09 00:00:00.000`0.0`1.5`1`0`
778254`BS`2024-04-08 00:00:00.000`0.0`2.5`1`0`
778253`MGK`2024-03-22 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778245`DT`2024-04-15 00:00:00.000`0.0`0.17000000000000001`2`0`
778244`TM`2024-04-15 00:00:00.000`0.0`0.56999999999999995`2`0`
778243`TM`2024-04-11 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
778242`KJF`2024-04-11 00:00:00.000`0.0`1.6299999999999999`2`0`
778242`KJF`2024-04-11 00:00:00.000`0.0`0.56999999999999995`0`0`
778241`JPK`2024-04-11 00:00:00.000`0.0`2.0`2`0`
778241`JPK`2024-04-10 00:00:00.000`0.0`4.4699999999999998`0`0`
778240`EH`2024-04-03 00:00:00.000`0.0`6.0`2`0`
778240`EH`2024-04-02 00:00:00.000`0.0`0.92000000000000004`0`0`
778239`JRL`2024-04-02 00:00:00.000`0.0`0.33000000000000002`2`0`
778211`CA`2024-04-17 00:00:00.000`0.0`0.0`0`0`
778211`CA`2024-04-16 00:00:00.000`0.0`8.5700000000000003`0`0`
778210`JZ`2024-04-11 00:00:00.000`0.0`7.0000000000000007E-2`1`0`
778210`JZ`2024-04-09 00:00:00.000`0.0`0.17999999999999999`0`0`
778209`JZ`2024-04-09 00:00:00.000`0.0`0.23000000000000001`1`0`
778208`EU`2024-04-09 00:00:00.000`0.0`2.5`1`0`
778207`KJR`2024-04-01 00:00:00.000`0.0`0.62`0`0`
778207`KJR`2024-04-02 00:00:00.000`0.0`3.5`1`0`
778206`JRL`2024-03-26 00:00:00.000`0.0`0.27000000000000002`1`0`
778192`JZ`2024-04-12 00:00:00.000`0.0`0.12`4`0`
778191`JZ`2024-04-12 00:00:00.000`0.0`3.73`4`0`
778190`EU`2024-04-12 00:00:00.000`0.0`2.3300000000000001`4`0`
778189`JPK`2024-04-08 00:00:00.000`0.0`0.5`0`0`
778189`JPK`2024-04-09 00:00:00.000`0.0`3.5`4`0`
778188`NV`2024-04-08 00:00:00.000`0.0`2.5`4`0`
778187`EH`2024-04-03 00:00:00.000`0.0`4.6500000000000004`4`0`
778186`TJ`2024-04-03 00:00:00.000`0.0`0.25`4`0`
778185`KJR`2024-04-01 00:00:00.000`0.0`3.75`4`0`
778185`KJR`2024-03-29 00:00:00.000`0.0`0.75`0`0`
778184`JRL`2024-03-28 00:00:00.000`0.0`0.80000000000000004`4`0`
778179`JZ`2024-04-12 00:00:00.000`0.0`0.17000000000000001`4`0`
778178`JZ`2024-04-12 00:00:00.000`0.0`3.75`4`0`
778177`EU`2024-04-12 00:00:00.000`0.0`2.25`4`0`
778176`JPK`2024-04-08 00:00:00.000`0.0`0.5`0`0`
778176`JPK`2024-04-09 00:00:00.000`0.0`3.0`4`0`
778175`NV`2024-04-08 00:00:00.000`0.0`2.5`4`0`
778174`EH`2024-04-03 00:00:00.000`0.0`3.8199999999999998`4`0`
778173`TJ`2024-04-03 00:00:00.000`0.0`0.25`4`0`
778172`KJR`2024-04-01 00:00:00.000`0.0`3.75`4`0`
778172`KJR`2024-03-29 00:00:00.000`0.0`0.75`0`0`
778171`JRL`2024-03-28 00:00:00.000`0.0`0.80000000000000004`4`0`
778131`CF`2024-04-15 00:00:00.000`0.0`7.0`8`0`
778130`DT`2024-04-12 00:00:00.000`0.0`0.55000000000000004`8`0`
778129`EU`2024-04-12 00:00:00.000`0.0`8.0`8`0`
778128`JPK`2024-04-05 00:00:00.000`0.0`7.0199999999999996`8`0`
778127`JT`2024-03-28 00:00:00.000`0.0`0.33000000000000002`0`0`
778127`JT`2024-04-01 00:00:00.000`0.0`2.25`0`0`
778127`JT`2024-04-01 00:00:00.000`0.0`3.0`0`0`
778127`JT`2024-04-02 00:00:00.000`0.0`3.1699999999999999`8`0`
778126`AMH`2024-03-27 00:00:00.000`0.0`0.29999999999999999`8`0`
778117`EU`2024-04-16 00:00:00.000`0.0`11.25`7`0`
778116`BS`2024-04-08 00:00:00.000`0.0`2.5`0`0`
778116`BS`2024-04-11 00:00:00.000`0.0`3.5`10`0`
778116`BS`2024-04-09 00:00:00.000`0.0`5.0`0`0`
778116`BS`2024-04-10 00:00:00.000`0.0`3.0`0`0`
778115`JRL`2024-03-26 00:00:00.000`0.0`3.3300000000000001`10`0`
778081`ZN`2024-04-16 00:00:00.000`0.0`2.0`0`0`
778080`JRL`2024-04-01 00:00:00.000`0.0`1.6000000000000001`12`0`
778078`NV`2024-04-16 00:00:00.000`0.0`8.0000000000000002E-2`4`0`
778077`JZ`2024-04-12 00:00:00.000`0.0`7.0000000000000007E-2`4`0`
778076`JZ`2024-04-12 00:00:00.000`0.0`0.29999999999999999`4`0`
778075`EU`2024-04-11 00:00:00.000`0.0`2.4100000000000001`4`0`
778074`JPK`2024-04-10 00:00:00.000`0.0`3.0`4`0`
778074`JPK`2024-04-09 00:00:00.000`0.0`0.5`0`0`
778073`NV`2024-04-08 00:00:00.000`0.0`2.5`4`0`
778072`EH`2024-04-04 00:00:00.000`0.0`6.5`0`0`
778072`EH`2024-04-05 00:00:00.000`0.0`2.5`4`0`
778071`TJ`2024-04-03 00:00:00.000`0.0`0.25`4`0`
778070`EH`2024-04-01 00:00:00.000`0.0`3.0`4`0`
778070`EH`2024-03-29 00:00:00.000`0.0`1.5`0`0`
778069`JRL`2024-03-28 00:00:00.000`0.0`0.77000000000000002`4`0`
778054`KJR`2024-04-15 00:00:00.000`0.0`4.0`5`0`
778053`EU`2024-04-08 00:00:00.000`0.0`8.0000000000000002E-2`5`0`
778052`KJF`2024-04-06 00:00:00.000`0.0`1.0900000000000001`5`0`
778051`JZ`2024-04-03 00:00:00.000`0.0`0.14999999999999999`5`0`
778050`EU`2024-04-03 00:00:00.000`0.0`5.0`5`0`
778049`KJR`2024-03-28 00:00:00.000`0.0`3.1800000000000002`5`0`
778049`KJR`2024-03-27 00:00:00.000`0.0`2.25`0`0`
778048`JRL`2024-03-27 00:00:00.000`0.0`0.75`5`0`
777963`KJR`2024-04-11 00:00:00.000`0.0`1.5700000000000001`0`0`
777958`EU`2024-04-16 00:00:00.000`0.0`2.5800000000000001`1`0`
777957`KJR`2024-04-12 00:00:00.000`0.0`3.0`1`0`
777956`AMH`2024-04-10 00:00:00.000`0.0`0.29999999999999999`1`0`
777954`KJR`2024-03-25 00:00:00.000`0.0`2.9300000000000002`1`0`
777953`JRL`2024-03-25 00:00:00.000`0.0`0.22`1`0`
777912`DT`2024-04-16 00:00:00.000`0.0`0.20999999999999999`1`0`
777911`EU`2024-04-15 00:00:00.000`0.0`2.0`1`0`
777910`ZN`2024-04-11 00:00:00.000`0.0`2.0800000000000001`1`0`
777909`AMH`2024-04-08 00:00:00.000`0.0`0.29999999999999999`1`0`
777907`CKR`2024-03-26 00:00:00.000`0.0`1.5`1`0`
777906`JRL`2024-03-26 00:00:00.000`0.0`0.13`1`0`
777886`EU`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`9`0`
777885`CA`2024-04-12 00:00:00.000`0.0`8.9299999999999997`0`0`
777885`CA`2024-04-15 00:00:00.000`0.0`4.29`9`0`
777884`JZ`2024-04-10 00:00:00.000`0.0`0.45000000000000001`9`0`
777883`EU`2024-04-09 00:00:00.000`0.0`7.0`9`0`
777882`JPK`2024-04-01 00:00:00.000`0.0`2.0`10`0`
777881`AE`2024-03-27 00:00:00.000`0.0`5.0`9`0`
777880`GV`2024-03-25 00:00:00.000`0.0`1.3999999999999999`9`0`
777880`GV`2024-03-23 00:00:00.000`0.0`3.0`0`0`
777879`JRL`2024-03-21 00:00:00.000`0.0`1.3300000000000001`10`0`
777858`AMH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`12`0`
777857`JZ`2024-04-12 00:00:00.000`0.0`7.0000000000000007E-2`12`0`
777856`JLA`2024-04-10 00:00:00.000`0.0`2.0800000000000001`0`0`
777856`JLA`2024-04-11 00:00:00.000`0.0`2.3199999999999998`12`0`
777855`CKR`2024-04-09 00:00:00.000`0.0`2.3999999999999999`0`0`
777855`CKR`2024-04-10 00:00:00.000`0.0`1.1000000000000001`12`0`
777854`EU`2024-04-04 00:00:00.000`0.0`8.0000000000000002E-2`12`0`
777853`TJ`2024-04-04 00:00:00.000`0.0`0.80000000000000004`12`0`
777852`JZ`2024-03-28 00:00:00.000`0.0`0.13`12`0`
777851`EU`2024-03-27 00:00:00.000`0.0`3.3300000000000001`12`0`
777850`KJF`2024-03-25 00:00:00.000`0.0`0.34999999999999998`0`0`
777850`ITA`2024-03-26 00:00:00.000`0.0`3.2000000000000002`12`0`
777849`JRL`2024-03-21 00:00:00.000`0.0`0.90000000000000002`12`0`
777845`DT`2024-04-16 00:00:00.000`0.0`0.41999999999999998`3`0`
777844`EU`2024-04-12 00:00:00.000`0.0`1.5`3`0`
777843`MGK`2024-03-21 00:00:00.000`0.0`0.16`3`0`
777833`JT`2024-04-16 00:00:00.000`0.0`1.3300000000000001`1`0`
777833`JT`2024-04-16 00:00:00.000`0.0`2.8700000000000001`0`0`
777832`AMH`2024-03-26 00:00:00.000`0.0`0.29999999999999999`1`0`
777822`DT`2024-04-16 00:00:00.000`0.0`3.5`0`0`
777821`AH`2024-04-03 00:00:00.000`0.0`2.3900000000000001`48`0`
777821`AH`2024-04-04 00:00:00.000`0.0`7.4800000000000004`108`0`
777821`AH`2024-04-05 00:00:00.000`0.0`6.5199999999999996`92`0`
777821`AH`2024-04-06 00:00:00.000`0.0`4.5`62`0`
777820`ZN`2024-04-01 00:00:00.000`0.0`1.1499999999999999`0`0`
777820`GV`2024-03-29 00:00:00.000`0.0`0.27000000000000002`0`0`
777820`ZN`2024-04-02 00:00:00.000`0.0`2.7999999999999998`0`0`
777820`ZN`2024-04-03 00:00:00.000`0.0`1.5`0`0`
777820`GV`2024-04-03 00:00:00.000`0.0`5.5499999999999998`310`0`
777819`JRL`2024-03-28 00:00:00.000`0.0`0.5`300`0`
777812`AH`2024-04-16 00:00:00.000`0.0`7.7000000000000002`31`0`
777812`AH`2024-04-15 00:00:00.000`0.0`8.2300000000000004`38`0`
777812`AH`2024-04-11 00:00:00.000`0.0`1.0`0`0`
777812`AH`2024-04-12 00:00:00.000`0.0`7.4000000000000004`30`0`
777811`TT`2024-04-11 00:00:00.000`0.0`23.0`99`1`
777810`JRL`2024-03-25 00:00:00.000`0.0`6.0`0`0`
777810`JRL`2024-03-27 00:00:00.000`0.0`1.0`100`0`
777777`ZN`2024-04-16 00:00:00.000`0.0`6.6799999999999997`1`0`
777776`AMH`2024-04-11 00:00:00.000`0.0`0.26000000000000001`1`0`
777774`ITA`2024-03-28 00:00:00.000`0.0`1.0`1`0`
777773`JRL`2024-03-25 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
777765`NJW`2024-04-17 00:00:00.000`0.0`0.0`0`0`
777764`AB`2024-04-16 00:00:00.000`0.0`1.5`0`0`
777764`AB`2024-04-17 00:00:00.000`0.0`0.5`1`0`
777763`AMH`2024-04-11 00:00:00.000`0.0`0.33000000000000002`1`0`
777761`ITA`2024-03-27 00:00:00.000`0.0`1.03`1`0`
777760`JRL`2024-03-25 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
777750`ZN`2024-04-16 00:00:00.000`0.0`0.69999999999999996`0`0`
777748`AMH`2024-04-11 00:00:00.000`0.0`0.29999999999999999`1`0`
777746`JZ`2024-03-27 00:00:00.000`0.0`4.0000000000000001E-2`1`0`
777745`CKR`2024-03-26 00:00:00.000`0.0`1.5`0`0`
777745`CKR`2024-03-27 00:00:00.000`0.0`1.0`1`0`
777744`JRL`2024-03-20 00:00:00.000`0.0`8.9999999999999997E-2`1`0`
777737`JT`2024-04-17 00:00:00.000`0.0`0.0`0`0`
777736`AMH`2024-04-11 00:00:00.000`0.0`0.29999999999999999`2`0`
777733`KJR`2024-03-25 00:00:00.000`0.0`3.0`0`0`
777733`KJR`2024-03-26 00:00:00.000`0.0`1.0`2`0`
777732`JRL`2024-03-25 00:00:00.000`0.0`0.40000000000000002`2`0`
777687`AMH`2024-04-10 00:00:00.000`0.0`0.10000000000000001`5`0`
777687`AMH`2024-04-10 00:00:00.000`0.0`0.10000000000000001`5`0`
777646`DT`2024-04-16 00:00:00.000`0.0`0.16`1`0`
777645`MGK`2024-04-11 00:00:00.000`0.0`0.82999999999999996`1`0`
777644`DT`2024-04-11 00:00:00.000`0.0`0.11`1`0`
777643`DT`2024-04-11 00:00:00.000`0.0`0.11`1`0`
777642`EU`2024-04-05 00:00:00.000`0.0`0.40999999999999998`1`0`
777641`ZN`2024-04-04 00:00:00.000`0.0`4.2000000000000002`1`0`
777640`JRL`2024-04-02 00:00:00.000`0.0`0.10000000000000001`1`0`
777624`DT`2024-04-09 00:00:00.000`0.0`1.0`5`0`
777623`EU`2024-04-09 00:00:00.000`0.0`0.81000000000000005`5`0`
777622`KJF`2024-04-05 00:00:00.000`0.0`2.8700000000000001`5`1`
777621`EH`2024-04-01 00:00:00.000`0.0`3.0`6`0`
777620`JRL`2024-03-20 00:00:00.000`0.0`0.68999999999999995`6`0`
777608`DT`2024-04-15 00:00:00.000`0.0`0.91000000000000003`10`0`
777607`EU`2024-04-12 00:00:00.000`0.0`0.81000000000000005`10`0`
777606`NR`2024-04-10 00:00:00.000`0.0`1.1000000000000001`10`0`
777605`JLA`2024-04-05 00:00:00.000`0.0`0.93000000000000005`10`0`
777604`CKR`2024-04-03 00:00:00.000`0.0`1.0`0`0`
777604`CKR`2024-04-05 00:00:00.000`0.0`1.2`10`0`
777603`GV`2024-03-22 00:00:00.000`0.0`0.14999999999999999`10`0`
777563`EU`2024-04-16 00:00:00.000`0.0`6.5`6`0`
777562`AE`2024-04-15 00:00:00.000`0.0`3.0`10`0`
777562`AE`2024-04-12 00:00:00.000`0.0`3.0`0`0`
777561`CHK`2024-04-08 00:00:00.000`0.0`2.75`0`0`
777561`CHK`2024-04-10 00:00:00.000`0.0`3.0`10`0`
777561`CHK`2024-04-09 00:00:00.000`0.0`8.5`0`0`
777560`JRL`2024-03-25 00:00:00.000`0.0`3.0`10`0`
777539`NV`2024-04-16 00:00:00.000`0.0`1.0`0`0`
777538`KJR`2024-04-09 00:00:00.000`0.0`1.0`9`1`
777538`KJR`2024-04-05 00:00:00.000`0.0`7.2800000000000002`0`0`
777537`JRL`2024-04-02 00:00:00.000`0.0`1.3300000000000001`10`0`
777522`MGK`2024-04-16 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
777520`DT`2024-04-16 00:00:00.000`0.0`1.25`14`0`
777519`AH`2024-04-12 00:00:00.000`0.0`1.8400000000000001`10`0`
777519`AH`2024-04-15 00:00:00.000`0.0`0.59999999999999998`4`0`
777518`NR`2024-04-10 00:00:00.000`0.0`1.48`14`0`
777517`JLA`2024-04-03 00:00:00.000`0.0`2.9199999999999999`14`0`
777516`ZN`2024-04-02 00:00:00.000`0.0`4.4000000000000004`0`0`
777516`ITA`2024-04-02 00:00:00.000`0.0`3.2999999999999998`14`0`
