779752`TM`2024-04-08 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779730`JLA`2024-04-16 00:00:00.000`0.0`0.97999999999999998`2`0`
779729`AB`2024-04-15 00:00:00.000`0.0`1.72`0`0`
779729`AB`2024-04-16 00:00:00.000`0.0`1.27`2`0`
779728`JRL`2024-04-10 00:00:00.000`0.0`0.14000000000000001`2`0`
779716`JLA`2024-04-16 00:00:00.000`0.0`0.72999999999999998`2`0`
779715`AB`2024-04-15 00:00:00.000`0.0`1.72`0`0`
779715`AB`2024-04-16 00:00:00.000`0.0`1.27`2`0`
779714`JRL`2024-04-10 00:00:00.000`0.0`0.14000000000000001`1`0`
779706`EU`2024-04-17 00:00:00.000`0.0`0.57999999999999996`5`0`
779705`CKR`2024-04-15 00:00:00.000`0.0`1.5`5`0`
779703`JRL`2024-04-09 00:00:00.000`0.0`0.28999999999999998`5`0`
779695`EU`2024-04-15 00:00:00.000`0.0`1.75`3`0`
779692`MB`2024-04-11 00:00:00.000`0.0`1.0`0`0`
779692`MB`2024-04-12 00:00:00.000`0.0`4.0`3`0`
779691`JRL`2024-04-09 00:00:00.000`0.0`0.40999999999999998`3`0`
779688`DT`2024-04-15 00:00:00.000`0.0`0.75`10`0`
779687`EU`2024-04-12 00:00:00.000`0.0`0.5`10`0`
779686`MB`2024-04-11 00:00:00.000`0.0`2.0`10`0`
779685`JRL`2024-04-10 00:00:00.000`0.0`0.82999999999999996`10`0`
779666`NJW`2024-04-16 00:00:00.000`0.0`0.5`2`0`
779665`JLA`2024-04-15 00:00:00.000`0.0`0.81999999999999995`2`0`
779664`CKR`2024-04-15 00:00:00.000`0.0`1.75`2`0`
779663`JRL`2024-04-09 00:00:00.000`0.0`0.13`2`0`
779653`DT`2024-04-15 00:00:00.000`0.0`0.33000000000000002`4`0`
779652`EU`2024-04-15 00:00:00.000`0.0`1.1599999999999999`4`0`
779651`NJW`2024-04-12 00:00:00.000`0.0`0.38`0`0`
779651`NJW`2024-04-12 00:00:00.000`0.0`0.5`4`0`
779650`JLA`2024-04-11 00:00:00.000`0.0`1.5700000000000001`4`0`
779649`MB`2024-04-09 00:00:00.000`0.0`1.0`0`0`
779649`MB`2024-04-10 00:00:00.000`0.0`1.5`4`0`
779648`JRL`2024-04-09 00:00:00.000`0.0`0.27000000000000002`4`0`
779608`NR`2024-04-15 00:00:00.000`0.0`2.75`10`0`
779607`ITA`2024-04-12 00:00:00.000`0.0`4.4000000000000004`10`0`
779606`JRL`2024-04-09 00:00:00.000`0.0`1.0`10`0`
779566`DT`2024-04-16 00:00:00.000`0.0`0.13`1`0`
779565`EU`2024-04-11 00:00:00.000`0.0`1.1599999999999999`1`0`
779564`MGK`2024-04-10 00:00:00.000`0.0`0.82999999999999996`1`0`
779563`MB`2024-04-10 00:00:00.000`0.0`1.0`1`0`
779562`JRL`2024-04-08 00:00:00.000`0.0`0.12`1`0`
779550`EU`2024-04-15 00:00:00.000`0.0`0.57999999999999996`1`0`
779549`CF`2024-04-12 00:00:00.000`0.0`1.5700000000000001`0`0`
779549`CF`2024-04-15 00:00:00.000`0.0`1.0`1`0`
779548`AB`2024-04-11 00:00:00.000`0.0`3.3700000000000001`0`0`
779548`AB`2024-04-12 00:00:00.000`0.0`2.0499999999999998`1`0`
779547`JRL`2024-04-08 00:00:00.000`0.0`0.13`1`0`
779518`AMH`2024-04-05 00:00:00.000`0.0`0.20000000000000001`3`0`
