LVL-7-KADEN`NULL`2021-09-15 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
LBR2024-03`NULL`2024-02-27 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
134045`GATES`2024-03-18 00:00:00.000`C.07143.422.30.00`Active`NULL`8MX-35S-21`1`0`0`1`6`0`0`1846075`1`NULL`NULL`1 ITEM  `NULL`NULL
133909`KIM NEENAH`2024-03-07 00:00:00.000`C529-M-08938-D-02`Active`NULL`104T, 8 DP KNIFE ROLL GEAR`1`0`0`1`4`0`0`17942191`2`2024-04-16 00:00:00.000`2024-03-11 00:00:00.000`1 OF 3 ITEMS Caleb H`2024-03-08 00:00:00.000`NULL
133908`KIM NEENAH`2024-03-07 00:00:00.000`C529-M-08937-D-04`Active`NULL`104T, 8 DP ANVIL GEAR`1`0`0`1`5`0`0`17942191`1`2024-04-16 00:00:00.000`2024-03-11 00:00:00.000`1 OF 3 ITEMS Caleb H`2024-03-08 00:00:00.000`NULL
133904`EDG GEAR`2024-03-07 00:00:00.000`SHAPER FIXTURE - 4 X 3 X .750`Active`-`G005514 (2G ENGINEERING)`1`0`0`1`3`0`0`JAMIE 3/6/24`1`2024-04-03 00:00:00.000`2024-03-14 00:00:00.000`1 ITEM - JAMIE`2024-03-08 00:00:00.000`NULL
133900`PCMC`2024-03-07 00:00:00.000`10097B2206`Complete`-`32T NYLASTEEL GEAR`2`0`2`0`0`4`2`P732439`1`2024-03-18 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM   Caleb H`2024-03-08 00:00:00.000`NULL
133898`BRETTING`2024-03-07 00:00:00.000`6320-133`Active`A`WHEEL PLY_BOND - NITRIDE`9`0`0`9`0`9`0`S17915`3`2024-03-20 00:00:00.000`2024-03-11 00:00:00.000`1 OF 3 ITEMS  Caleb H`2024-03-08 00:00:00.000`NULL
133897`BRETTING`2024-03-07 00:00:00.000`2132-436`Active`A`24T, 12 DP SPUR GEAR`1`0`0`1`0`1`0`S17915`2`2024-03-20 00:00:00.000`2024-03-11 00:00:00.000`1 OF 3 ITEMS   Caleb H`2024-03-08 00:00:00.000`NULL
133896`BRETTING`2024-03-07 00:00:00.000`3994-653`Active`A`64T, 6 DP SPUR GEAR`1`0`0`1`0`1`0`S17915`1`2024-03-20 00:00:00.000`2024-03-11 00:00:00.000`1 OF 3 ITEMS  Caleb H`2024-03-08 00:00:00.000`NULL
133891`QUAD-SUSSE`2024-03-06 00:00:00.000`GN.2C640272050`Active`NULL`38T, 3 MOD SPUR GEAR`1`4`0`5`5`0`0`4758860`1`2024-03-27 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM  Caleb H`2024-03-07 00:00:00.000`NULL
133884`STOLLE`2024-03-06 00:00:00.000`102000070`Active`NULL`31T, 12DP SPUR GEAR`10`0`0`10`3`0`0`A735642`3`2024-04-11 00:00:00.000`2024-03-19 00:00:00.000`1 OF 6 ITEMS - SEPARATE SHIP DATES  Caleb H`2024-03-06 00:00:00.000`NULL
133881`PSA - ONTA`2024-03-06 00:00:00.000`18S423`Active`A`29T, 6 DP R.H. HELICAL GEAR`1`0`0`1`2`0`0`P635347`1`2024-03-26 00:00:00.000`2024-03-11 00:00:00.000`1 ITEM  BRENT`2024-03-07 00:00:00.000`NULL
133867`MACHINE TO`2024-03-01 00:00:00.000`5874M-1302.0`Complete`NULL`P36-T5 PULLEY`1`0`0`1`0`1`1`33039`1`2024-03-20 00:00:00.000`2024-03-08 00:00:00.000`133867 Caleb H`2024-03-01 00:00:00.000`NULL
